Priority Level,Icon,Task ID & Summary,Relevant Ticket(s),Problem Statement,Proposed Action,Potential Impact
High,🚨,[URGENT] Fix Invalid Sitemap,Issues/Technical/SEO/fix_invalid_sitemap_and_orphan_local_version.md,"Sitemap is unreadable by Google (not XML), preventing effective content discovery. Orphaned localized pages exist.","Generate a valid XML sitemap. Link or remove orphaned localized pages and manage hreflang.","Drastic improvement in crawl coverage and indexation. Clean international SEO signals."
High,🚫,[URGENT] Resolve Googlebot 403 Errors for Images,Issues/Technical/SEO/fix_403_image_indexing.md,"Googlebot is blocked (403) on /_next/image URLs, preventing optimized image indexing and wasting crawl budget.","Identify block source (WAF, CDN, server) and whitelist Googlebot for these paths.","Correct image indexing, GSC error resolution, crawl budget optimization."
High,📄,[HIGH] Optimize Pagination Handling for Deep Content,Issues/Technical/SEO/fix_pagination_canonical_noindex.md,"noindex and canonical to page 1 on paginated pages >1 block deep content indexing and PR flow (including to agency pages).","Implement index, follow; self-referencing canonicals; degraded titles/meta for pages >1; limit depth.","Deep content indexing, better PR flow to /agency/ pages, long-tail capture, reduced zombie pages. Direct synergy with agency PR improvement."
High,🔗,[HIGH] Improve Agency Page Internal Linking Strategy,Issues/Technical/SEO/improve_agency_pr.md,"Critical /agency/ pages have low PR and are often zombie pages despite traffic potential. Lack of contextual linking.","Implement a dynamic internal linking module (5 related + 3 strategic links) on each agency page.","Better PR, reduced zombie/orphan pages, improved discoverability, direct support for business objectives."
High,⚡️,[HIGH] Optimize JavaScript Bundle Performance,Issues/Performances/improve_js-bundle-perf-issue.md,"Excessive JS payload (~2.1MB uncompressed) negatively impacts Core Web Vitals and user experience, especially on mobile.","Audit JS bundles (@next/bundle-analyzer), tree-shaking, aggressive code-splitting (dynamic()), lazy-load third-party scripts.","Major improvement in LCP, TBT, TTI. Better PageSpeed scores, better mobile UX."
High,🎨,[HIGH] Optimize CSS Delivery and Purging,Issues/Performances/improve_css_optimization_ticket.md,"Large CSS file (~404KB) with unused styles is shipped, impacting load times and Core Web Vitals.","Implement CSS optimization: PurgeCSS, CSS modules, critical CSS generation, or dynamic imports for styles.","Faster rendering, improved LCP and PageSpeed scores, better mobile UX."
Medium,🛡️,[MEDIUM] Prevent API Endpoint Exposure in Frontend,Issues/Technical/SEO/prevent_api_exposure_ticket.md,"Internal /api/... URLs exposed in JS state, crawled by Googlebot (generating 410s), wasting crawl budget and polluting GSC.","Do not serialize API endpoints in hydrated state. Block /api/ in robots.txt. Harden API access (auth, 401/404 instead of 410).","Optimized crawl budget, cleaner GSC, enhanced security."
Medium,⭐️,[MEDIUM] Fix AggregateRating Schema for Reviews,Issues/Technical/SEO/fix_review_schema_aggregaterating.md,"Missing aggregateRating on pages with multiple reviews, preventing star rich snippets in SERPs and causing GSC errors.","Dynamically add aggregateRating schema (calculating ratingValue and reviewCount) on relevant pages.","Eligibility for SERP stars (potentially higher CTR), GSC error resolution, improved trust signal."
Medium,📰,[MEDIUM] Develop Automated News Content Workflow,Issues/Content/automated_news_generation_workflow.md,"Current news generation workflow is manual, unscalable, and uses separate, unintegrated scripts. Generation script has bugs.","Automate end-to-end: full content retrieval (JS/paywall handling), integrate the two scripts, test models/sources/relevance, monitor traffic/backlinks. Focus on agency/company news for backlinks.","Scalable content production, freshness, potential for traffic/backlinks (if quality is high and technical issues are resolved)."
Medium,📝,[MEDIUM] Improve Landing Page Content Quality via AI,Issues/Content/improve_contents_quality_landing_pages.md,"Landing page content (SEO text, FAQ) is often generic, lacking specificity and data-driven insights from available provider/service data, limiting engagement and SEO effectiveness.","Utilize AI (e.g., GPT models) with rich, aggregated provider data (ratings, team sizes, budgets, services, reviews, project examples) and specific market context to generate highly relevant, specific, and data-driven content for each landing page.","Improved content quality & relevance, better alignment with search intent, increased user engagement & trust, scalable creation of high-quality content, enhanced SEO performance."
